Year,Quarter,Month,Day,EPC BASELINE,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Year,Quarter,Month,Day
,,,,,,,,,,,,,,,,,2022,Qtr 3,August,25
,,,,,,,,,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
,,,,,,,,,,,,,2022,Qtr 4,November,11,2022,Qtr 4,December,6
,,,,,2022,Qtr 2,May,2,2022,Qtr 3,August,30,2022,Qtr 3,August,11,2022,Qtr 3,August,11
,,,,,2022,Qtr 3,September,6,2022,Qtr 4,October,20,2022,Qtr 4,October,16,2022,Qtr 4,October,18
,,,,,2022,Qtr 4,November,22,2023,Qtr 1,February,6,2023,Qtr 1,February,6,,,,
,,,,,2022,Qtr 4,November,29,,,,,2022,Qtr 3,August,25,2022,Qtr 3,August,25
,,,,,2022,Qtr 4,December,29,,,,,2022,Qtr 4,December,29,2022,Qtr 4,December,29
,,,,,2023,Qtr 1,January,1,,,,,2022,Qtr 3,August,11,2022,Qtr 3,August,11
,,,,,2023,Qtr 1,January,3,,,,,2022,Qtr 4,November,3,2022,Qtr 4,November,3
,,,,,2023,Qtr 1,January,19,2023,Qtr 2,May,20,,,,,,,,
,,,,,2023,Qtr 1,January,24,2023,Qtr 1,March,10,2023,Qtr 1,March,16,,,,
,,,,2021-07-10 00:00:00,2021,Qtr 2,May,7,,,,,,,,,,,,
,,,,2021-07-10 00:00:00,2021,Qtr 4,October,4,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
,,,,2021-08-10 00:00:00,,,,,,,,,,,,,,,,
2021,Qtr 3,September,16,2021-09-16 00:00:00,,,,,,,,,,,,,,,,
2021,Qtr 3,September,16,2021-09-16 00:00:00,2022,Qtr 1,January,26,2022,Qtr 1,March,20,2022,Qtr 3,July,3,2022,Qtr 3,July,4
2021,Qtr 3,September,29,2021-09-29 00:00:00,2021,Qtr 4,October,6,2022,Qtr 2,May,31,2022,Qtr 2,June,9,2022,Qtr 2,June,20
2022,Qtr 2,June,28,2022-06-28 00:00:00,2022,Qtr 4,October,17,2023,Qtr 1,March,10,2023,Qtr 1,March,4,,,,
2022,Qtr 3,September,20,2022-09-20 00:00:00,2022,Qtr 3,August,21,,,,,2022,Qtr 2,June,29,2022,Qtr 3,August,10
2022,Qtr 3,September,20,2022-09-20 00:00:00,2022,Qtr 3,August,22,2022,Qtr 3,August,30,2022,Qtr 3,August,16,2022,Qtr 3,August,23
2022,Qtr 4,October,1,2022-10-01 00:00:00,2022,Qtr 4,October,17,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2022,Qtr 4,October,8,2022-10-08 00:00:00,2022,Qtr 4,October,19,2023,Qtr 1,March,16,2023,Qtr 1,March,11,2023,Qtr 1,March,19
2022,Qtr 4,October,11,2022-10-11 00:00:00,2022,Qtr 4,November,5,2022,Qtr 4,November,25,2023,Qtr 1,January,5,2023,Qtr 1,January,20
2022,Qtr 4,October,16,2022-10-16 00:00:00,2021,Qtr 4,October,17,,,,,2021,Qtr 4,October,21,2021,Qtr 4,October,21
2022,Qtr 4,October,16,2022-10-16 00:00:00,2022,Qtr 4,October,11,2023,Qtr 2,May,20,2022,Qtr 4,November,3,2022,Qtr 4,December,6
2022,Qtr 4,October,22,2022-10-22 00:00:00,2022,Qtr 4,November,5,2023,Qtr 2,May,20,2022,Qtr 4,November,24,2022,Qtr 4,December,29
2022,Qtr 4,October,24,2022-10-24 00:00:00,2022,Qtr 1,March,28,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
2022,Qtr 4,October,24,2022-10-24 00:00:00,2022,Qtr 4,October,18,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2022,Qtr 4,October,27,2022-10-27 00:00:00,2022,Qtr 4,October,27,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2022,Qtr 4,November,5,2022-11-05 00:00:00,2022,Qtr 4,November,1,2022,Qtr 3,September,10,2022,Qtr 3,September,5,2022,Qtr 3,September,19
2022,Qtr 4,November,5,2022-11-05 00:00:00,2022,Qtr 4,November,1,2023,Qtr 1,January,8,2023,Qtr 1,January,7,2023,Qtr 1,January,15
2022,Qtr 4,November,5,2022-11-05 00:00:00,2022,Qtr 4,November,3,2023,Qtr 1,January,20,2023,Qtr 1,January,21,2023,Qtr 1,January,29
2022,Qtr 4,November,5,2022-11-05 00:00:00,2022,Qtr 4,November,14,2023,Qtr 1,January,28,2023,Qtr 1,January,24,,,,
2022,Qtr 4,November,5,2022-11-05 00:00:00,2022,Qtr 4,November,29,2023,Qtr 1,February,28,2023,Qtr 1,February,25,2023,Qtr 1,March,16
2022,Qtr 4,November,7,2022-11-07 00:00:00,2022,Qtr 1,March,2,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2022,Qtr 4,November,7,2022-11-07 00:00:00,2022,Qtr 4,October,8,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2022,Qtr 4,November,8,2022-11-08 00:00:00,2022,Qtr 4,November,13,,,,,2022,Qtr 3,September,3,2022,Qtr 3,September,13
2022,Qtr 4,November,10,2022-11-10 00:00:00,2022,Qtr 4,November,10,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
2022,Qtr 4,November,10,2022-11-10 00:00:00,2022,Qtr 4,November,16,2022,Qtr 3,September,10,2023,Qtr 1,February,28,2023,Qtr 1,March,12
2022,Qtr 4,November,10,2022-11-10 00:00:00,2022,Qtr 4,November,19,2023,Qtr 2,May,20,2023,Qtr 1,February,6,2023,Qtr 1,March,16
2022,Qtr 4,November,10,2022-11-10 00:00:00,2022,Qtr 4,November,19,2023,Qtr 1,February,25,2023,Qtr 1,March,11,2023,Qtr 1,March,19
2022,Qtr 4,November,10,2022-11-10 00:00:00,2022,Qtr 4,November,27,,,,,2022,Qtr 3,August,25,2022,Qtr 3,August,25
2022,Qtr 4,November,10,2022-11-10 00:00:00,2022,Qtr 4,November,27,2023,Qtr 1,January,28,2023,Qtr 1,March,6,2023,Qtr 1,March,19
2022,Qtr 4,November,10,2022-11-10 00:00:00,2022,Qtr 4,December,5,2022,Qtr 4,December,23,2023,Qtr 1,February,2,,,,
2022,Qtr 4,November,10,2022-11-10 00:00:00,2022,Qtr 4,December,5,2023,Qtr 1,February,23,2023,Qtr 1,March,20,,,,
2022,Qtr 4,November,10,2022-11-10 00:00:00,2022,Qtr 4,December,10,2023,Qtr 2,May,20,,,,,,,,
2022,Qtr 4,November,14,2022-11-14 00:00:00,2022,Qtr 2,April,7,2022,Qtr 3,August,31,2022,Qtr 2,June,30,2022,Qtr 2,June,30
2022,Qtr 4,November,15,2022-11-15 00:00:00,2022,Qtr 4,November,12,2022,Qtr 2,April,23,2022,Qtr 3,July,4,2022,Qtr 3,July,4
2022,Qtr 4,November,16,2022-11-16 00:00:00,2022,Qtr 4,November,21,2022,Qtr 2,April,22,2022,Qtr 2,April,27,2022,Qtr 2,April,27
2022,Qtr 4,November,21,2022-11-21 00:00:00,2022,Qtr 4,November,29,,,,,2022,Qtr 3,August,25,2022,Qtr 3,August,25
2022,Qtr 4,November,22,2022-11-22 00:00:00,2022,Qtr 4,November,3,2022,Qtr 4,November,30,2023,Qtr 1,January,3,2023,Qtr 1,January,20
2022,Qtr 4,November,22,2022-11-22 00:00:00,2022,Qtr 4,November,17,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2022,Qtr 4,November,22,2022-11-22 00:00:00,2022,Qtr 4,November,20,2023,Qtr 1,January,10,2023,Qtr 1,January,9,2023,Qtr 1,January,18
2022,Qtr 4,November,26,2022-11-26 00:00:00,2022,Qtr 4,November,29,2023,Qtr 2,April,20,2023,Qtr 2,April,29,,,,
2022,Qtr 4,November,26,2022-11-26 00:00:00,2022,Qtr 4,November,30,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2022,Qtr 4,November,26,2022-11-26 00:00:00,2022,Qtr 4,November,30,2023,Qtr 1,March,31,2023,Qtr 1,March,25,,,,
2022,Qtr 4,November,26,2022-11-26 00:00:00,2022,Qtr 4,December,1,2023,Qtr 2,May,20,,,,,,,,
2022,Qtr 4,November,26,2022-11-26 00:00:00,2022,Qtr 4,December,24,,,,,2022,Qtr 3,September,15,2022,Qtr 3,September,15
2022,Qtr 4,November,26,2022-11-26 00:00:00,2022,Qtr 4,December,24,2023,Qtr 2,April,20,2023,Qtr 2,April,29,,,,
2022,Qtr 4,November,27,2022-11-27 00:00:00,2022,Qtr 4,November,27,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
2022,Qtr 4,November,30,2022-11-30 00:00:00,2022,Qtr 4,November,30,2023,Qtr 1,January,25,2023,Qtr 1,January,21,2023,Qtr 1,January,29
2022,Qtr 4,December,1,2022-12-01 00:00:00,2022,Qtr 4,December,26,,,,,2022,Qtr 3,August,25,2022,Qtr 3,August,25
2022,Qtr 4,December,1,2022-12-01 00:00:00,2023,Qtr 1,January,7,2023,Qtr 1,January,15,2023,Qtr 1,January,8,2023,Qtr 1,January,9
2022,Qtr 4,December,1,2022-12-01 00:00:00,2023,Qtr 1,January,19,2023,Qtr 1,January,28,2023,Qtr 1,March,6,2023,Qtr 1,March,19
2022,Qtr 4,December,1,2022-12-01 00:00:00,2023,Qtr 4,October,23,2023,Qtr 1,February,5,2023,Qtr 1,January,31,2023,Qtr 1,February,8
2022,Qtr 4,December,3,2022-12-03 00:00:00,2022,Qtr 4,December,10,2022,Qtr 2,April,23,2022,Qtr 3,July,4,2022,Qtr 3,July,6
2022,Qtr 4,December,3,2022-12-03 00:00:00,2022,Qtr 4,December,10,2023,Qtr 1,February,28,2023,Qtr 1,February,28,2023,Qtr 1,March,16
2022,Qtr 4,December,8,2022-12-08 00:00:00,2022,Qtr 4,November,20,,,,,2022,Qtr 3,August,1,2022,Qtr 3,August,3
